event-id,visible,timestamp,location-long,location-lat,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
16309227,true,2003-06-22 01:53:00.000,7.10217628915039,46.9376099920098,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",355550.74169871805,5199979.134850403,"32N","Central European Time",2003-06-22 03:53:00.000
16309199,true,2003-06-22 02:01:00.000,7.11305594023365,46.9262747379288,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356348.49008613103,5198699.560253041,"32N","Central European Time",2003-06-22 04:01:00.000
16309198,true,2003-06-22 02:10:00.000,7.11828956185409,46.9284617220409,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356752.7442800263,5198933.0050888015,"32N","Central European Time",2003-06-22 04:10:00.000
16309197,true,2003-06-22 02:21:00.000,7.0972352707749,46.9204521113332,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",355128.40375371685,5198081.651159412,"32N","Central European Time",2003-06-22 04:21:00.000
16309196,true,2003-06-22 02:30:00.000,7.1035433189457,46.9227740618829,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",355614.9109234399,5198328.033713717,"32N","Central European Time",2003-06-22 04:30:00.000
16309195,true,2003-06-22 02:42:00.000,7.0903869979519,46.919293645165,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354603.8717317269,5197965.59621902,"32N","Central European Time",2003-06-22 04:42:00.000
16309194,true,2003-06-22 02:48:00.000,7.07853853194605,46.932977346973,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353739.02579857473,5199508.176871358,"32N","Central European Time",2003-06-22 04:48:00.000
16309193,true,2003-06-22 02:54:00.000,7.11249822164381,46.9363682279185,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356333.0347972058,5199822.181316821,"32N","Central European Time",2003-06-22 04:54:00.000
16309192,true,2003-06-22 03:00:00.000,7.11011713448791,46.9362553321783,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356151.5005769674,5199814.002461714,"32N","Central European Time",2003-06-22 05:00:00.000
16309191,true,2003-06-22 22:28:00.000,7.0988080698014,46.9664584482471,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",355372.14506873226,5203191.025835265,"32N","Central European Time",2003-06-23 00:28:00.000
16309190,true,2003-06-22 23:49:00.000,7.07620070646651,46.9336846205102,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353563.0043639745,5199591.133793455,"32N","Central European Time",2003-06-23 01:49:00.000
16309189,true,2003-06-22 23:59:00.000,7.07271955515205,46.9224465699331,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",353267.3337716218,5198348.860560483,"32N","Central European Time",2003-06-23 01:59:00.000
16309188,true,2003-06-23 00:16:00.000,7.06641252288314,46.9242567626344,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352792.1229312201,5198561.831939196,"32N","Central European Time",2003-06-23 02:16:00.000
16309187,true,2003-06-23 00:26:00.000,7.06420261841318,46.9330157938893,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352647.914003221,5199539.293628267,"32N","Central European Time",2003-06-23 02:26:00.000
16309186,true,2003-06-23 00:38:00.000,7.06899151534004,46.9224508410423,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352983.5198349671,5198356.318090452,"32N","Central European Time",2003-06-23 02:38:00.000
16309185,true,2003-06-23 00:46:00.000,7.06572736176713,46.925044049678,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",352742.1197123115,5198650.602390422,"32N","Central European Time",2003-06-23 02:46:00.000
16309184,true,2003-06-23 00:56:00.000,7.0554856536865,46.9116906836789,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351925.633992541,5197186.054123108,"32N","Central European Time",2003-06-23 02:56:00.000
16309183,true,2003-06-23 01:05:00.000,7.04854756315246,46.9208570175992,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",351422.6603309506,5198217.744726275,"32N","Central European Time",2003-06-23 03:05:00.000
16309182,true,2003-06-23 02:02:00.000,7.0842127882655,46.9420802614232,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",354195.6575650128,5200509.132011203,"32N","Central European Time",2003-06-23 04:02:00.000
16309181,true,2003-06-23 02:19:00.000,7.12245275604943,46.9218178251193,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",357051.9861393907,5198187.131156419,"32N","Central European Time",2003-06-23 04:19:00.000
16309180,true,2003-06-23 02:26:00.000,7.11289625550434,46.921395461559,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356323.2849099523,5198157.6631652005,"32N","Central European Time",2003-06-23 04:26:00.000
16309179,true,2003-06-23 02:32:00.000,7.1133705572391,46.9202026360946,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356356.2064851364,5198024.246444069,"32N","Central European Time",2003-06-23 04:32:00.000
16309178,true,2003-06-23 02:42:00.000,7.11868637280241,46.9240081066451,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356771.0768856683,5198437.390092584,"32N","Central European Time",2003-06-23 04:42:00.000
16309177,true,2003-06-23 02:53:00.000,7.1089028310835,46.9147607670313,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356001.46917239076,5197427.735274894,"32N","Central European Time",2003-06-23 04:53:00.000
16309176,true,2003-06-23 02:59:00.000,7.11827408322404,46.9356590313765,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356770.76167825155,5199732.806157936,"32N","Central European Time",2003-06-23 04:59:00.000
16309175,true,2003-06-23 03:07:00.000,7.12288671319275,46.9389918071338,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",357130.71545096545,5200094.73144208,"32N","Central European Time",2003-06-23 05:07:00.000
16309174,true,2003-06-23 03:14:00.000,7.1228738592899,46.9282987110815,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",357101.2869738216,5198906.525977488,"32N","Central European Time",2003-06-23 05:14:00.000
16309173,true,2003-06-23 03:21:00.000,7.11846161989932,46.9314010448027,,"radio-transmitter","Vespertilio murinus","#1918725","191","Parti-colored bat Safi Switzerland",356773.68038524315,5199259.311372932,"32N","Central European Time",2003-06-23 05:21:00.000
16309282,true,2003-05-17 22:05:00.000,7.13248329054623,46.9312443054553,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",357840.59691620147,5199216.375172631,"32N","Central European Time",2003-05-18 00:05:00.000
16309281,true,2003-05-17 22:27:00.000,7.13095707299037,46.9348137288475,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",357733.87650151446,5199615.782029231,"32N","Central European Time",2003-05-18 00:27:00.000
16309280,true,2003-05-17 22:40:00.000,7.12821704034667,46.9350907724303,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",357526.05310999195,5199651.5432466725,"32N","Central European Time",2003-05-18 00:40:00.000
16309279,true,2003-05-17 23:01:00.000,7.12434652359984,46.9344737344623,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",357229.8086750313,5199590.018431771,"32N","Central European Time",2003-05-18 01:01:00.000
16309278,true,2003-05-17 23:11:00.000,7.14188805031107,46.9340560405222,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",358563.89585363166,5199511.809070286,"32N","Central European Time",2003-05-18 01:11:00.000
16309277,true,2003-05-17 23:21:00.000,7.13992839386168,46.9372989649074,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",358423.28384811105,5199875.703957003,"32N","Central European Time",2003-05-18 01:21:00.000
16309276,true,2003-05-17 23:46:00.000,7.11625429758019,46.9162681591263,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",356565.260496274,5197581.765743113,"32N","Central European Time",2003-05-18 01:46:00.000
16309275,true,2003-05-18 00:04:00.000,7.11691201509364,46.9322146351831,,"radio-transmitter","Vespertilio murinus","#1918728","239","Parti-colored bat Safi Switzerland",356657.8957616583,5199352.550376327,"32N","Central European Time",2003-05-18 02:04:00.000
